abur	aber
stuba	stube
stōren	stören
suht	sucht
suohhen	suchen
swarm	schwarm
swarz	schwarz
sweifen	schweifen
swenken	schwenken
swert	schwert
swester	schwester
sāen	säen
tanna	tanne
tapfar	tapfer
tempal	tempel
teppih	teppich
tiligōn	tilgen
titul	titel
tobēn	toben
tohter	tochter
toto	tote
toub	taub
toufen	taufen
tragan	tragen
traht	tracht
trahtōn	trachten
tranc	trank
trebir	treber
treffan	treffen
trestir	trester
tretan	treten
troum	traum
trōst	trost
tuoh	tuch
unmuot	unmut
unrāt	unrat
untan	unten
untar	unter
urloub	urlaub
vespera	vesper
waba	wabe
wagan	wagen
wahs	wachs
wahsan	wachsen
wallan	wallen
wallōn	wallen
waltan	walten
wanga	wange
warnōn	warnen
wartēn	warten
wascan	waschen
wata	wate
watan	waten
weban	weben
wedar	weder
wehsal	wechsel
weibil	weibel
weida	weide
weih	weich
weinōn	weinen
welc	welk
werban	werben
werdan	werden
werfan	werfen
westan	westen
wezzen	wetzen
wicka	wicke
wickilī	wickel
widar	wider
wiht	wicht
wildi	wild
willo	wille
winkan	winken
winkil	winkel
wintar	winter
wipfil	wipfel
wirbil	wirbel
wirtscaft	wirtschaft
wolla	wolle
wuot	wut
wurzala	wurzel
zagal	zagel
zagēn	zagen
zanga	zange
zangar	zanger
zarga	zarge
zeigōn	zeigen
zeihhan	zeichen
zeihhanen	zeichnen
zeisan	zeisen
zelga	zelge
zella	zelle
zelto	zelte
zeltāri	zelter
ziegala	ziegel
zierida	zierde
zierī	zier
zinna	zinne
zirkil	zirkel
zitwar	zitwer
ziug	zeug
zoum	zaum
zubar	zuber
zuht	zucht
zunga	zunge
zwickil	zwickel
ābend	abend
