traum	troum
beten	betōn
macht	maht
abend	ābend
vater	fater
zoll	zollo
bulge	bulga
otter	ottar
kanne	kanna
fasel	fasal
knauf	knouf
wild	wildi
luchs	luhs
schar	scar
salbe	salba
milch	miluh
hanse	hansa
felge	felga
pfund	pfunt
grund	grunt
miselsucht	misalsuht
stiel	stil
laden	ladōn
sechs	sehs
rogen	rogan
huld	huldī
stauf	stouf
wette	wetti
heide	heida
truhe	truha
stube	stuba
fluh	fluoh
garbe	garba
narr	narro
weide	weida
kelle	kella
zelge	zelga
blut	bluot
gebet	gibet
jener	jenēr
honig	honag
minne	minna
zwerg	twerg
wesentlich	wesantlih
könig	kunig
hahnenkamm	hanenkamb
biber	bibar
eidam	eidum
heft	hefti
speer	sper
wolle	wolla
laden	ladan
irden	irdīn
blech	bleh
segen	segan
zier	zierī
bruch	bruoh
welch	welīh
gang	gangi
sachs	sahs
krach	krah
unter	untar
nagel	nagal
stola	stōla
blank	blanc
hagel	hagal
wicht	wiht
klage	klaga
ranft	ramft
ocker	ockar
zunge	zunga
walze	walza
krumm	krumb
ratte	ratta
hanf	hanaf
sorge	sorga
krug	kruog
bruch	bruoh
barbe	barbo
zehn	zehan
biest	biost
kreis	kreiz
grind	grint
zange	zanga
bett	betti
waten	watan
reden	redōn
unrat	unrāt
runge	runga
merle	merla
masse	massa
beck	becko
pfuhl	pfuol
staub	stoub
kerze	kerza
losen	losēn
zinne	zinna
anger	angar
holen	holōn
kiste	kista
lauft	louft
rasch	rasco
einig	einag
horst	hurst
magd	magad
krank	kranc
reise	reisa
flut	fluot
fest	festi
sippe	sippa
flach	flah
flur	fluor
gadem	gadum
wachs	wahs
warze	warza
darre	darra
klotz	kloz
gern	gerno
laben	labōn
stadt	stat
halde	halda
falle	falla
angel	angul
engel	engil
kelch	kelih
zelle	zella
tanne	tanna
haben	habēn
sucht	suht
oheim	ōheim
nacht	naht
sagen	sagēn
heide	heida
lägel	lāgel
blind	blint
galle	galla
backe	backo
zucht	zuht
barg	barug
spiel	spil
melde	melda
zunft	zumft
weder	wedar
eiter	eitar
licht	lioht
innen	innan
offen	offan
brand	brant
prosa	prōsa
tenne	tenni
wider	widar
meier	meior
hasel	hasal
lilie	lilia
dick	dicki
minze	minza
trank	tranc
fuchs	fuhs
lind	lindi
karg	karag
mitte	mitti
bruch	bruh
sehen	sehan
degen	degan
miete	mieta
stich	stih
gegen	gegin
laubfrosch	loubfrosc
regen	regan
frech	freh
jagen	jagōn
recht	reht
fegen	fegōn
wange	wanga
gerte	gerta
geburtstag	giburtitag
geben	geban
kegel	kegil
dann	danna
herz	herza
dunst	tunst
brief	briaf
zelte	zelto
feist	feizt
zagel	zagal
mutt	mutti
fenn	fenni
bald	baldo
senn	senno
nebel	nebul
latte	latto
model	modul
unten	untan
leder	ledar
stark	starc
bilch	bilih
arzt	arzāt
held	helid
matte	matta
durch	duruh
runse	runsa
spreu	spriu
zarge	zarga
barte	barta
mager	magar
recht	reht
birke	birka
heben	heven
lunge	lunga
imbiß	imbiz
halle	halla
stier	stior
wagen	wagan
anker	ankar
zuber	zubar
weich	weih
sicht	siht
rein	reini
glut	gluot
maser	masar
kunde	kundo
funke	funko
meise	meisa
palme	palma
wicke	wicka
hirse	hirso
geize	geiza
feil	feili
apfel	apful
dachs	dahs
harfe	harfa
eigenschaft	eiganscaft
steinbrech	steinbrehha
borgen	borgēn
munter	muntar
tugend	tugund
urlaub	urloub
senden	senten
wirbel	wirbil
glocke	glocka
halten	haltan
fällen	fellen
gaumen	goumen
helfen	helfan
reuten	riuten
darben	darbēn
tragen	tragan
dehnen	dennen
kneten	knetan
presse	pressa
haspel	haspil
flachs	flahs
ernst	ernust
winkel	winkil
gelten	geltan
klinge	klingo
pelzen	pelzōn
mengen	mengan
freuen	frewen
still	stilli
knebel	knebil
spinne	spinna
beugen	bougen
heizen	heizēn
fieber	fiebar
füllen	fullen
setzen	sezzen
wanst	wanast
westen	westan
pfaffe	pfaffo
haften	haftēn
tapfer	tapfar
sitzen	sizzen
dünken	dunken
stimme	stimma
tiegel	tegel
stören	stōren
wetzen	wezzen
gerste	gersta
hering	hāring
folgen	folgēn
bisam	bisamo
singen	singan
wisent	wisunt
schuld	sculd
graben	graban
warten	wartēn
heilig	heilīg
stahl	stahel
raufen	roufen
fasten	fastēn
spelt	spelta
nackt	nackot
gewalt	giwalt
rinnen	rinnan
finden	findan
stange	stanga
marmel	marmul
bracke	bracko
picken	bicken
jugend	jugund
warnen	warnōn
geburt	giburt
mistel	mistil
malter	maltar
walten	waltan
kruste	krusta
senkel	senkil
pfanne	pfanna
knolle	knollo
recken	rechen
wenden	wenten
treten	tretan
melden	meldēn
gellen	gellan
tempel	tempal
wollen	wellen
mutter	muoter
deuten	diuten
schaft	scaft
fallen	fallan
kupfer	kupfar
leiter	leitar
sparen	sparēn
leidig	leidag
knecht	kneht
hacken	hackōn
stadel	stadal
flamme	flamma
frucht	fruht
marder	mardar
nennen	nemnen
wipfel	wipfil
winken	winkan
kleben	klebēn
weibel	weibil
bellen	bellan
netzen	nezzen
strich	strih
liegen	ligen
ringen	ringan
steige	steiga
ritzen	rizzen
hinter	hintar
zeisen	zeisan
untern	untorn
kosten	kostōn
stelze	stelza
flocke	flocko
zeigen	zeigōn
zürnen	zurnen
storch	storah
klette	kletto
grille	grillo
zirkel	zirkil
pforte	pforta
obdach	obdah
unmut	unmuot
stiege	stiega
finger	fingar
strom	stroum
weinen	weinōn
säugen	sougen
langen	langōn
wallen	wallan
winter	wintar
quappe	quappa
selten	seltan
backen	backan
kresse	kresso
tracht	traht
laster	lastar
dingen	dingōn
zanger	zangar
küssen	kussen
wallen	wallōn
hantig	hantag
specht	speht
mantel	mantal
dieser	deser
sinter	sintar
pfarre	pfarra
dritte	dritto
werfen	werfan
spange	spanga
impfen	impfōn
heiter	heitar
werben	werban
runzel	runzil
schorf	scorf
dorren	dorrēn
wölben	welben
leider	leidōr
zitwer	zitwar
morgen	morgan
dörren	derren
gürten	gurten
würgen	wurgen
krippe	krippa
kresse	kresso
kaufen	koufen
taufen	toufen
spanne	spanna
lernen	lernēn
treber	trebir
werden	werdan
dinkel	dinkil
bitter	bittar
angst	angust
platte	platta
distel	distil
flegel	flegil
lecken	leckōn
mittel	mittil
rüsten	rusten
bleich	bleih
bergen	bergan
balsam	balsamo
tochter	tohter
blenden	blenten
bruder	bruoder
treffen	treffan
quellen	quellan
predigt	prediga
staffel	staffal
herbst	herbist
stürzen	sturzen
pflicht	pfliht
unhold	unholda
knüpfen	knupfen
tränken	trenken
zwickel	zwickil
stengel	stengil
abgrund	abgrunt
meister	meistar
pflanze	pflanza
pfister	pfistur
pfeffer	pfeffar
urkunde	urkundi
spannen	spannan
griebe	grieben
klopfen	klopfōn
fenster	fenstar
estrich	estrih
hengst	hengist
arbeit	arabeit
bringen	bringan
klingen	klingan
finster	finstar
trester	trestir
bischof	biscof
renken	renken.
seichen	seihhen
mischen	miscen
leugnen	lougnen
polster	polstar
widmen	widamen
gefilde	gefildi
streng	strengi
teppich	teppih
dringen	dringan
streuen	strewen
spiegel	spiegal
vesper	vespera
sterben	sterban
pflegen	pflegan
pressen	pressōn
richten	rihten
salbei	salbeia
spalten	spaltan
heiland	heilant
august	augusto
klecken	kleken
