word:Balg@lang:deu@std	word:balg@lang:GOH@std
word:Balken@lang:deu@std	word:balko@lang:GOH@std
word:Ball@lang:deu@std	word:*balluz@lang:*PGM@std
word:Ball@lang:deu@std	word:bal@lang:GOH@std
word:Ballen@lang:deu@std	word:ballo@lang:GOH@std
word:Balsam@lang:deu@std	word:balsamo@lang:GOH@std
word:Band@lang:deu@std/2	word:*bandan@lang:*PGM@std
word:Band@lang:deu@std/2	word:bant@lang:GOH@std
word:Bank@lang:deu@std	word:bank@lang:GOH@std
word:Bann@lang:deu@std	word:*bannan@lang:*PGM@std
word:Bann@lang:deu@std	word:ban@lang:GOH@std
word:Barbe@lang:deu@std	word:barbo@lang:GOH@std
word:Barg@lang:deu@std	word:*barugaz@lang:*PGM@std
word:Barg@lang:deu@std	word:barug@lang:GOH@std
word:Barn@lang:deu@std	word:*barnan@lang:*PGM@std
word:Barn@lang:deu@std	word:barn@lang:GOH@std
word:Barsch@lang:deu@std	word:*barzan@lang:*PGM@std
word:Barsch@lang:deu@std	word:bars@lang:GOH@std
word:Bart@lang:deu@std	word:*bardaz@lang:*PGM@std
word:Bart@lang:deu@std	word:bart@lang:GOH@std
word:Barte@lang:deu@std	word:*bardōn@lang:*PGM@std
word:Barte@lang:deu@std	word:barta@lang:GOH@std
word:Base@lang:deu@std	word:basa@lang:GOH@std
word:Bast@lang:deu@std	word:*bastan@lang:*PGM@std
word:Bast@lang:deu@std	word:bast@lang:GOH@std
word:Bauch@lang:deu@std	word:būh@lang:GOH@std
word:Bauer@lang:deu@std	word:*būran@lang:*PGM@std
word:Bauer@lang:deu@std	word:būr@lang:GOH@std
word:Baum@lang:deu@std	word:*baumaz@lang:*PGM@std
word:Baum@lang:deu@std	word:boum@lang:GOH@std
word:Bausch@lang:deu@std	word:būsc@lang:GOH@std
word:Becher@lang:deu@std	word:behhari@lang:GOH@std
word:Beck@lang:deu@std	word:becko@lang:GOH@std
word:Becken@lang:deu@std	word:becki@lang:GOH@std
word:Beere@lang:deu@std	word:*bazjan@lang:*PGM@std
word:Beere@lang:deu@std	word:beri@lang:GOH@std
word:Beet@lang:deu@std	word:bettilī@lang:GOH@std
word:Beicht@lang:deu@std	word:bijiht@lang:GOH@std
word:Beifuß@lang:deu@std	word:pīpōz@lang:GOH@std
word:Beige@lang:deu@std	word:bīga@lang:GOH@std
word:Beil@lang:deu@std	word:bīhal@lang:GOH@std
word:Bein@lang:deu@std	word:*bainan@lang:*PGM@std
word:Bein@lang:deu@std	word:bein@lang:GOH@std
word:Beinwell@lang:deu@std	word:beinwella@lang:GOH@std
word:Belche@lang:deu@std	word:*balixōn@lang:*PGM@std
word:Belche@lang:deu@std	word:belihha@lang:GOH@std
word:Bendel@lang:deu@std	word:*bandilaz@lang:*PGM@std
word:Bendel@lang:deu@std	word:bentil@lang:GOH@std
word:Berg@lang:deu@std	word:*bergan@lang:*PGM@std
word:Berg@lang:deu@std	word:berg@lang:GOH@std
word:Bertram@lang:deu@std	word:berhtram@lang:GOH@std
word:Besen@lang:deu@std	word:besmo@lang:GOH@std
word:Bett@lang:deu@std	word:*badjan@lang:*PGM@std
word:Bett@lang:deu@std	word:betti@lang:GOH@std
word:Beule@lang:deu@std	word:būla@lang:GOH@std
word:Beunde@lang:deu@std	word:biunta@lang:GOH@std
word:Beutel@lang:deu@std	word:būtil@lang:GOH@std
word:Bezirk@lang:deu@std	word:zirc@lang:GOH@std
word:Biber@lang:deu@std	word:*bebruz@lang:*PGM@std
word:Biber@lang:deu@std	word:bibar@lang:GOH@std
word:Biene@lang:deu@std	word:bīna@lang:GOH@std
word:Bier@lang:deu@std	word:bior@lang:GOH@std
word:Biest@lang:deu@std	word:biost@lang:GOH@std
word:Bilch@lang:deu@std	word:bilih@lang:GOH@std
word:Bild@lang:deu@std	word:bilidi@lang:GOH@std
word:Biller@lang:deu@std	word:bilarn@lang:GOH@std
word:Bilsenkraut@lang:deu@std	word:bilsa@lang:GOH@std
word:Bims@lang:deu@std	word:pumiz@lang:GOH@std
