impfoːn	ɪmpfən
runzil	rʊnt͡səl
agalstra	ɛʪtər
legen	leːɡən
suːftoːn	zɔyft͡sən
hoːhmuot	hoːxmuːt
tasca	taʃə
kutti	kɛtə
truobi	tryːbə
degan	deːɡən
gilenti	ɡəlɛndə
har	haːr
roːst	rɔst
kostoːn	kɔstən
jagoːn	jaːɡən
waːn	vaːn
sculd	ʃʊlt
saf	zaft
ginuogiː	ɡənuːk
hold	hɔlt
buːr	bauər
gifarto	ɡəfɛːrtə
suːmen	zɔymən
koh	kɔx
iːwa	aibə
rinta	rɪndə
wild	vɪlt
maht	maxt
wanga	vaŋə
liod	liːt
skiozan	ʃiːsən
walloːn	valən
spizzi	ʃpɪt͡s
scaltan	ʃaltən
stihhil	ʃtɪxəl
merla	mɛrlə
aro	aːr
intfindan	ɛmpfɪndən
loːn	loːn
senno	zɛn
loːrber	lɔrbeːr
kalb	kalp
mos	moːs
giwalchen	valkən
diorna	dɪrnə
kerza	kɛrt͡sə
sena	zeːnə
naːjan	nɛːən
leffil	lœfəl
suntaroːn	zɔndərn
truːt	traut
pero	bɛːr
heriberga	hɛrbɛrɡə
wart	vart
werien	veːrən
naːdala	naːdəl
gisello	ɡəzɛlə
huːwiloːn	hɔylən
halftra	halftər
luːtaren	lɔytərn
unraːt	ʊnraːt
braːhhen	prɛːɡən
oːstara	oːstərn
uːzar	ausər
asca	aʃə
giswer	ɡəʃvyːr
bal	bal
armherzi	barmhɛrt͡sɪx
spot	ʃpɔt
redoːn	reːdən
fiːga	faiɡə
nagal	naːɡəl
mieta	miːtə
wir	viːr
grazzo	ɡrɛslɪx
zanga	t͡saŋə
unnan	ɡœnən
liːan	laiən
werd	veːrt
weːnag	veːnɪx
lang	laŋ
scotto	ʃɔtə
sal	zaːl
kalc	kalk
fliːz	flais
gangi	ɡaŋ
jungiling	jʏŋlɪŋ
in	rɪspə
querdar	køːdər
hazlih	hɛslɪx
gislahti	ɡəʃlɛxt
stuːda	ʃtaudə
innan	ɪndɛsən
abgrunt	apɡrʊnt
suːgan	zauɡən
hals	haʪ
hizza	hɪt͡sə
sioh	ziːx
anut	ɛntə
swam	ʃvam
scaz	ʃat͡s
vespera	fɛspər
gimahalo	ɡəmaːl
riːhhi	raix
spor	ʃpɔrn
kurba	kʊrbəl
nasa	naːzə
ledar	leːdər
gimeinsam	ɡəmainzaːm
uːf	auf
bistricken	bəʃtrɪkən
weidalih	vaitlɪx
giweb	ɡəveːbə
gips	ɡɪps
klebeːn	kleːbən
ze	t͡suːrʏk
rediliːh	reːtlɪx
borto	bɔrtə
pfant	pfant
skif	ʃɪf
stackulla	ʃtaxəl
flozza	flɔsə
swaːri	ʃveːr
helfa	hɪlfə
niːgan	naiɡən
gerta	ɡɛrtə
swebal	ʃveːfəl
friosan	friːrən
fridu	friːdə
keva	kɛːfɪx
wintila	vɪndəl
tal	taːl
spiːhhari	ʃpaixər
skinten	ʃɪndən
alruːn	alraun
maːnoːd	moːnaːt
diacan	diːakoːn
adal	aːdəl
barmeːn	ɛrbarmən
scurfen	ʃʏrfən
bodam	boːdən
knetan	kneːtən
gruoba	ɡruːbə
oli	øːl
fihu	viː
balg	balk
lougnen	lɔyɡnən
swellan	ʃvɛlən
enti	ɛndə
naba	naːbə
riohhan	riːxən
wiːo	vaiə
irskephen	ɛrʃœpfən
obaligan	ɔpliːɡən
oːra	oːr
zwibollo	t͡sviːbəl
slegil	ʃleːɡəl
biginnan	bəɡɪnən
