word:Bürde@lang:deu@std	bʏrdə
word:Bürge@lang:deu@std	bʏrɡə
word:Bürger@lang:deu@std	bʏrɡər
word:Bütte@lang:deu@std/2	bʏtə
word:Cholera@lang:deu@std	koːleːraː
word:Chor@lang:deu@std	koːr
word:Christ@lang:deu@std	krɪst
word:Dach@lang:deu@std	dax
word:Dachs@lang:deu@std	daks
word:Dampf@lang:deu@std	dampf
word:Dampf@lang:deu@std/2	dampf
word:Dank@lang:deu@std	daŋk
word:Darm@lang:deu@std	darm
word:Daumen@lang:deu@std	daumən
word:Degen@lang:deu@std	deːɡən
word:Deichsel@lang:deu@std	daiksəl
word:Demut@lang:deu@std	deːmuːt
word:Diadem@lang:deu@std	diːadeːm
word:Diakon@lang:deu@std	diːakoːn
word:Dieb@lang:deu@std	diːp
word:Diele@lang:deu@std	diːlə
word:Diener@lang:deu@std	diːnər
word:Dienst@lang:deu@std	diːnst
word:Dill@lang:deu@std	dɪl
word:Ding@lang:deu@std	dɪŋ
word:Dirne@lang:deu@std	dɪrnə
word:Distel@lang:deu@std	dɪstəl
word:Docht@lang:deu@std	dɔxt
word:Docke@lang:deu@std	dɔkə
word:Dom@lang:deu@std	doːm
word:Donner@lang:deu@std	dɔnər
word:Dorf@lang:deu@std	dɔrf
word:Dorn@lang:deu@std	dɔrn
word:Dotter@lang:deu@std	dɔtər
word:Drache@lang:deu@std	draxə
word:Draht@lang:deu@std	draːt
word:Drüse@lang:deu@std	dryːzə
word:Duft@lang:deu@std	dʊft
word:Dunst@lang:deu@std	dʊnst
word:Durst@lang:deu@std	dʊrst
word:Eber@lang:deu@std	eːbər
word:Ecke@lang:deu@std	ɛkə
word:Ecker@lang:deu@std	ɛkər
word:Efeu@lang:deu@std	eːfɔy
word:Egel@lang:deu@std	eːɡəl
word:Egge@lang:deu@std	ɛɡə
word:Ehe@lang:deu@std	eːə
word:Ehre@lang:deu@std	eːrə
word:Ei@lang:deu@std	ai
word:Eibe@lang:deu@std	aibə
word:Eiche@lang:deu@std	aixə
word:Eichel@lang:deu@std	aixəl
word:Eichhörnchen@lang:deu@std	aixhœrnxən
word:Eid@lang:deu@std	ait
word:Eidechse@lang:deu@std	aidɛksə
word:Eigenschaft@lang:deu@std	aiɡənʃaft
word:Eimer@lang:deu@std	aimər
word:Einhorn@lang:deu@std	ainhɔrn
word:Einöde@lang:deu@std	ainøːdə
word:Eis@lang:deu@std	ais
word:Eisen@lang:deu@std	aizən
word:Eiter@lang:deu@std	aitər
word:Elch@lang:deu@std	ɛlx
word:Elfenbein@lang:deu@std	ɛlfənbain
word:Elle@lang:deu@std	ɛlə
word:Elster@lang:deu@std	ɛʪtər
word:Ende@lang:deu@std	ɛndə
word:Engel@lang:deu@std	ɛŋəl
word:Enkel@lang:deu@std/2	ɛŋkəl
word:Ente@lang:deu@std	ɛntə
word:Enterich@lang:deu@std	ɛnteːrɪx
word:Erbe@lang:deu@std	ɛrbə
word:Erbe@lang:deu@std/2	ɛrbə
word:Erbse@lang:deu@std	ɛrpsə
word:Erde@lang:deu@std	eːrdə
word:Erle@lang:deu@std	ɛrlə
word:Ernst@lang:deu@std	ɛrnst
word:Erz@lang:deu@std	eːrt͡s
word:Esche@lang:deu@std	ɛʃə
word:Esel@lang:deu@std	eːzəl
word:Espe@lang:deu@std	ɛspə
word:Esse@lang:deu@std	ɛsə
word:Essig@lang:deu@std	ɛsɪx
word:Eule@lang:deu@std	ɔylə
word:Euter@lang:deu@std	ɔytər
word:Evangelium@lang:deu@std	eːvaŋɡeːliːʊm
word:Fach@lang:deu@std	fax
word:Fackel@lang:deu@std	fakəl
word:Faden@lang:deu@std	faːdən
word:Fahne@lang:deu@std	faːnə
word:Falke@lang:deu@std	falkə
word:Fall@lang:deu@std	fal
word:Falle@lang:deu@std	falə
word:Farbe@lang:deu@std	farbə
word:Farn@lang:deu@std	farn
word:Fasan@lang:deu@std	fazaːn
word:Faser@lang:deu@std	faːzər
word:Faust@lang:deu@std	faust
word:Faß@lang:deu@std	fas
word:Feder@lang:deu@std	feːdər
word:Fehde@lang:deu@std	feːdə
word:Feier@lang:deu@std	faiər
word:Feige@lang:deu@std	faiɡə
word:Feile@lang:deu@std	failə
word:Feind@lang:deu@std	faint
word:Feld@lang:deu@std	fɛlt
word:Felge@lang:deu@std	fɛlɡə
word:Fell@lang:deu@std	fɛl
word:Fels@lang:deu@std	fɛʪ
word:Fenster@lang:deu@std	fɛnstər
word:Ferkel@lang:deu@std	fɛrkəl
word:Ferse@lang:deu@std	fɛrzə
word:Feuer@lang:deu@std	fɔyər
word:Fichte@lang:deu@std	fɪxtə
word:Fieber@lang:deu@std	fiːbər
word:Fiedel@lang:deu@std	fiːdəl
word:Filz@lang:deu@std	fɪlt͡s
word:Finger@lang:deu@std	fɪŋər
word:Fink@lang:deu@std	fɪŋk
word:First@lang:deu@std	fɪrst
word:Fisch@lang:deu@std	fɪʃ
word:Fitze@lang:deu@std	fɪt͡sə
word:Flachs@lang:deu@std	flaks
word:Fladen@lang:deu@std	flaːdən
word:Flamme@lang:deu@std	flamə
word:Flasche@lang:deu@std	flaʃə
word:Flaum@lang:deu@std	flaum
